Course Page,Section,PDF Title,PDF URL,resource-type,Down_link,topic-link,topic-link 2,topic-link 3
https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Lecture Notes,a0889c5ca8a479c3e56c544d646fb770_MIT8_06S18ch1.pdf,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/a0889c5ca8a479c3e56c544d646fb770_MIT8_06S18ch1.pdf,8.06 | Undergraduate,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Science,Physics,Theoretical Physics
https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Lecture Notes,439fc15f7ed10dd76c69dc3f7fea600e_MIT8_06S18ch2.pdf,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/439fc15f7ed10dd76c69dc3f7fea600e_MIT8_06S18ch2.pdf,8.06 | Undergraduate,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Science,Physics,Theoretical Physics
https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Lecture Notes,bf207c35150e1f5d93ef05d4664f406d_MIT8_06S18ch3.pdf,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/bf207c35150e1f5d93ef05d4664f406d_MIT8_06S18ch3.pdf,8.06 | Undergraduate,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Science,Physics,Theoretical Physics
https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Lecture Notes,89ef6d5958ee59bae9a91345c3d8c8e4_MIT8_06S18ch4.pdf,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/89ef6d5958ee59bae9a91345c3d8c8e4_MIT8_06S18ch4.pdf,8.06 | Undergraduate,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Science,Physics,Theoretical Physics
https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Lecture Notes,95ffb7405e75bec4f75564318e173ce0_MIT8_06S18ch6.pdf,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/95ffb7405e75bec4f75564318e173ce0_MIT8_06S18ch6.pdf,8.06 | Undergraduate,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Science,Physics,Theoretical Physics
https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Lecture Notes,45dbd7038c3e969491eceeae86c44d42_MIT8_06S18ch7.pdf,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/45dbd7038c3e969491eceeae86c44d42_MIT8_06S18ch7.pdf,8.06 | Undergraduate,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Science,Physics,Theoretical Physics
https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Lecture Notes,fb48dd49e8649557f1715f0415de4f4d_MIT8_06S18ch8.pdf,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/fb48dd49e8649557f1715f0415de4f4d_MIT8_06S18ch8.pdf,8.06 | Undergraduate,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/download,Science,Physics,Theoretical Physics
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,68b07c151fd2842460241680498d0968_MIT2_61S17_lec1.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/68b07c151fd2842460241680498d0968_MIT2_61S17_lec1.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,cf3aaf55ae71710c9bfd3056515b9b67_MIT2_61S17_lec2.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/cf3aaf55ae71710c9bfd3056515b9b67_MIT2_61S17_lec2.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Lecture Notes,e9421a34d0cd5c5fc4fc81365975503e_MIT2_61S17_lec3.pdf,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/e9421a34d0cd5c5fc4fc81365975503e_MIT2_61S17_lec3.pdf,2.61 | Graduate,https://ocw.mit.edu/courses/2-61-internal-combustion-engines-spring-2017/download,Engineering,Science,Physics
